id,tsunami,year,eq,region,deaths
3542.00,0.00,1935.00,6.00,140.00,60.00
8108.00,0.00,1897.00,6.00,30.00,56.00
1365.00,0.00,1761.00,6.00,30.00,50.00
2538.00,0.00,1898.00,6.00,40.00,47.00
3712.00,0.00,1942.00,6.00,130.00,43.00
8001.00,0.00,1930.00,6.00,30.00,42.00
1897.00,0.00,1849.00,6.00,160.00,40.00
7446.00,0.00,1930.00,6.00,160.00,39.00
1797.00,0.00,1837.00,6.00,30.00,37.00
1308.00,0.00,1750.00,6.00,30.00,37.00
5325.00,0.00,1992.00,6.00,60.00,36.00
1480.00,0.00,1785.00,6.00,30.00,36.00
3430.00,0.00,1930.00,6.00,130.00,35.00
927.00,0.00,1634.00,6.00,30.00,30.00
5439.00,0.00,1996.00,6.00,30.00,23.00
3780.00,0.00,1944.00,6.00,140.00,21.00
3366.00,1.00,1928.00,6.00,130.00,20.00
